Condition	Hour	Temperature
C1	0:00	4
C1	1:00	4
C1	2:00	4
C1	3:00	4
C1	4:00	4
C1	5:00	4
C1	6:00	4
C1	7:00	4
C1	7:00	6
C1	8:00	6
C1	8:00	8
C1	9:00	8
C1	9:00	10
C1	10:00	10
C1	10:00	12
C1	11:00	12
C1	12:00	12
C1	13:00	12
C1	14:00	12
C1	15:00	12
C1	15:00	10
C1	16:00	10
C1	16:00	8
C1	17:00	8
C1	17:00	6
C1	18:00	6
C1	18:00	4
C1	19:00	4
C1	20:00	4
C1	21:00	4
C1	22:00	4
C1	23:00	4
C1	24:00	4
C2	0:00	4
C2	1:00	4
C2	2:00	4
C2	3:00	4
C2	4:00	4
C2	5:00	4
C2	6:00	4
C2	7:00	4
C2	7:00	6
C2	8:00	6
C2	8:00	8
C2	9:00	8
C2	9:00	10
C2	10:00	10
C2	10:00	12
C2	11:00	12
C2	12:00	12
C2	12:00	20
C2	13:00	20
C2	14:00	20
C2	14:00	12
C2	15:00	12
C2	15:00	10
C2	16:00	10
C2	16:00	8
C2	17:00	8
C2	17:00	6
C2	18:00	6
C2	18:00	4
C2	19:00	4
C2	20:00	4
C2	21:00	4
C2	22:00	4
C2	23:00	4
C2	24:00	4
C3	0:00	4
C3	1:00	4
C3	2:00	4
C3	3:00	4
C3	4:00	4
C3	5:00	4
C3	6:00	4
C3	7:00	4
C3	7:00	6
C3	8:00	6
C3	8:00	8
C3	9:00	8
C3	9:00	10
C3	10:00	10
C3	10:00	12
C3	11:00	12
C3	12:00	12
C3	12:00	24
C3	13:00	24
C3	14:00	24
C3	14:00	12
C3	15:00	12
C3	15:00	10
C3	16:00	10
C3	16:00	8
C3	17:00	8
C3	17:00	6
C3	18:00	6
C3	18:00	4
C3	19:00	4
C3	20:00	4
C3	21:00	4
C3	22:00	4
C3	23:00	4
C3	24:00	4
C4	0:00	4
C4	1:00	4
C4	2:00	4
C4	3:00	4
C4	4:00	4
C4	5:00	4
C4	6:00	4
C4	7:00	4
C4	7:00	6
C4	8:00	6
C4	8:00	8
C4	9:00	8
C4	9:00	10
C4	10:00	10
C4	10:00	12
C4	11:00	12
C4	12:00	12
C4	12:00	28
C4	13:00	28
C4	14:00	28
C4	14:00	12
C4	15:00	12
C4	15:00	10
C4	16:00	10
C4	16:00	8
C4	17:00	8
C4	17:00	6
C4	18:00	6
C4	18:00	4
C4	19:00	4
C4	20:00	4
C4	21:00	4
C4	22:00	4
C4	23:00	4
C4	24:00	4
